close,open,date,high,volume,low
39.61,40.0,2025-07-03,40.11,9003716,39.35
39.48,39.6,2025-07-04,39.93,5537282,39.35
39.37,39.42,2025-07-07,39.72,3897861,39.26
39.11,39.33,2025-07-08,39.5,5358331,39.0
39.41,39.0,2025-07-09,39.66,5710066,39.0
39.05,39.57,2025-07-10,39.62,5233214,39.0
38.48,39.0,2025-07-11,39.12,6328033,38.36
38.31,38.36,2025-07-14,38.8,6204405,38.06
38.29,38.45,2025-07-15,38.83,7970524,38.21
38.53,38.32,2025-07-16,39.39,17373541,38.32
38.62,38.7,2025-07-17,39.04,7047853,38.52
38.14,38.65,2025-07-18,38.67,9196914,37.86
38.12,38.6,2025-07-21,38.6,9120337,37.91
37.92,38.29,2025-07-22,38.45,5347049,37.8
37.72,38.08,2025-07-23,38.1,5852223,37.53
37.63,37.89,2025-07-24,37.98,5721143,37.55
36.87,37.6,2025-07-25,37.84,6808788,36.66
36.73,36.98,2025-07-28,37.27,5870920,36.54
36.88,36.54,2025-07-29,36.99,6095360,36.26
36.69,37.06,2025-07-30,37.15,3934498,36.51
36.41,36.35,2025-07-31,36.56,5013223,35.88
35.93,36.41,2025-08-01,36.46,3821663,35.8
36.0,35.83,2025-08-04,36.09,4480598,35.72
35.73,36.05,2025-08-05,36.19,3424703,35.6
35.68,35.95,2025-08-06,36.05,3981430,35.47
35.33,35.43,2025-08-07,35.57,4372655,35.0
35.77,35.33,2025-08-08,35.89,3516578,35.23
35.9,35.77,2025-08-11,36.04,3272830,35.45
36.19,35.9,2025-08-12,36.26,3281461,35.8
35.97,36.3,2025-08-13,36.49,2509817,35.9
36.11,36.07,2025-08-14,36.2,2170704,35.86
36.64,36.88,2025-08-18,36.89,3645104,36.49
36.64,36.6,2025-08-19,36.82,6448585,36.34
36.57,36.64,2025-08-20,37.08,4312833,36.51
36.37,36.7,2025-08-21,36.83,3460003,36.31
35.82,36.3,2025-08-22,36.45,4876811,35.7
35.62,35.99,2025-08-25,36.06,3214941,35.53
34.84,35.6,2025-08-26,35.84,7260957,34.75
34.5,34.83,2025-08-28,34.93,4149938,34.22
34.52,34.5,2025-08-29,34.9,3929127,34.28
35.05,34.66,2025-09-01,35.17,3173078,34.52
35.37,35.05,2025-09-02,35.78,4521464,34.91
35.68,35.4,2025-09-03,35.77,2716808,35.4
35.32,35.9,2025-09-04,36.09,2479012,35.24
35.18,35.45,2025-09-05,35.54,2919982,35.06
35.72,35.44,2025-09-08,36.15,4110992,35.3
35.56,35.75,2025-09-09,35.95,2345143,35.5
36.2,35.71,2025-09-10,36.5,5949159,35.71
36.35,36.45,2025-09-11,37.09,6326499,36.25
36.28,36.64,2025-09-12,36.64,3425048,36.15
36.67,36.44,2025-09-15,36.91,4515505,36.3
36.94,36.85,2025-09-16,37.27,5350152,36.62
37.82,37.19,2025-09-17,38.18,11567843,37.02
37.67,38.12,2025-09-18,38.31,6499262,37.52
38.2,37.68,2025-09-19,38.5,9925584,37.55
37.84,38.2,2025-09-22,38.46,6152998,37.67
37.91,37.8,2025-09-23,38.19,5952985,37.42
37.66,38.3,2025-09-24,38.75,11316860,37.57
37.3,37.65,2025-09-25,37.75,3828731,37.19
36.21,37.28,2025-09-26,37.28,5189463,36.1
36.56,36.21,2025-09-29,36.9,5332395,36.08
37.78,36.57,2025-09-30,37.9,8396914,36.5
37.63,37.9,2025-10-01,38.2,9487959,37.45
37.8,37.65,2025-10-03,38.06,4734272,37.51
37.77,38.0,2025-10-06,38.35,5070215,37.63
37.67,37.78,2025-10-07,37.95,4263973,37.49
37.33,37.8,2025-10-08,37.8,3938265,37.15
37.32,37.44,2025-10-09,37.47,3923974,37.02
38.12,37.4,2025-10-10,38.7,12534410,37.25
37.8,37.99,2025-10-13,38.05,4620557,37.45
36.76,37.8,2025-10-14,37.88,6161837,36.66
38.0,36.95,2025-10-15,38.33,11704978,36.69
37.91,38.25,2025-10-16,38.78,7369943,37.74
36.92,37.9,2025-10-17,38.08,8954242,36.79
38.75,37.1,2025-10-20,39.35,33548150,36.76
39.1,39.0,2025-10-21,39.25,3458762,38.9
39.44,39.3,2025-10-23,40.2,18053104,38.87
39.07,39.44,2025-10-24,39.55,7646350,38.8
39.87,39.06,2025-10-27,40.14,11453931,38.9
40.4,40.19,2025-10-28,40.65,21438168,39.45
40.22,40.53,2025-10-29,40.54,9529362,40.01
39.3,40.2,2025-10-30,40.22,8067258,39.15
39.48,39.25,2025-10-31,40.6,18890290,39.12
39.95,39.7,2025-11-03,40.53,14532854,39.33
39.15,40.0,2025-11-04,40.0,9734826,39.05
38.11,39.15,2025-11-06,39.4,8874279,38.0
38.96,38.0,2025-11-07,39.18,9470165,37.47
38.97,39.01,2025-11-10,39.19,6368783,38.56
37.68,38.89,2025-11-11,38.89,11579908,37.58
37.78,38.0,2025-11-12,38.11,6919311,37.55
37.45,37.91,2025-11-13,37.97,7221913,37.34
37.91,37.25,2025-11-14,38.05,5052612,37.24
38.85,38.09,2025-11-17,39.55,16450256,37.91
38.92,38.85,2025-11-18,39.58,12336408,38.52
39.43,38.9,2025-11-19,39.6,9788546,38.51
38.64,39.6,2025-11-20,39.75,7294988,38.55
38.04,38.55,2025-11-21,38.7,4832140,38.0
37.81,38.2,2025-11-24,38.44,5274363,37.7
